STATE,17_Total_populations,GDP(millions),Registered Voters,contribution,Zones,No of LG,APC,PDP,OTHERS,Total Votes,%Turn out,Winner,Winning Margin,MALE,FEMALE,Presidents_region,VP_Region
BENUE,5676059,6864,2015452,2.4,NC,23,373961,303737,5566,683264,34,APC,9.46,424045,292255,0,0
NIGER,5442557,6002,2014317,2.1,NC,25,657678,149222,6771,813671,40,APC,61.66,529489,332538,0,0
PLATEAU,4243523,5154,2001825,1.8,NC,17,429140,549615,3633,982388,49,PDP,11.89,452194,465289,0,0
KOGI,4418614,4642,1350883,1.6,NC,21,264851,149987,6490,421328,31,APC,25.72,206895,179057,0,0
KWARA,3135512,3841,1142267,1.3,NC,16,302146,132602,5332,440080,39,APC,37.31,220164,192332,0,0
NASSARAWA,2496553,3022,1242667,1.1,NC,13,236838,273460,1249,511547,41,PDP,6.91,249976,208553,0,0
TARABA,3029365,3397,1340652,1.2,NE,16,261326,310800,7551,579677,43,PDP,7.23,295540,223797,0,0
GOMBE,3205339,2501,1120023,0.9,NE,11,361245,96873,2481,460599,41,APC,56.86,333496,171252,0,0
YOBE,3222715,2011,1099970,0.7,NE,17,446265,25526,2005,473796,43,APC,88.38,280088,161569,0,0
ADAMAWA,4189538,4582,1559012,1.6,NE,21,374701,251664,8656,635021,41,APC,18.01,350899,255347,0,0
BAUCHI,6388194,4713,2054125,1.6,NE,20,931598,86085,2654,1020337,50,APC,82.61,630536,392947,0,0
BORNO,5763214,5175,1934079,1.8,NE,27,473543,25640,2737,501920,26,APC,88.69,291616,164946,0,0
KADUNA,8178033,10334,3407222,3.6,NW,23,1127760,484085,5637,1617482,47,APC,39.45,812434,669426,0,1
KANO,12876004,12393,4975701,4.3,NW,44,1903999,215779,9043,2128821,43,APC,78.88,980179,667002,0,1
KATSINA,7741634,6022,2817943,2.1,NW,34,1345441,98937,5048,1449426,51,APC,85.65,789452,655385,0,1
SOKOTO,4936778,4818,1611929,1.7,NW,23,671926,152199,10134,834259,52,APC,61.08,462530,301517,0,1
ZAMFARA,4433036,4123,1495717,1.4,NW,14,612202,144833,3987,761022,51,APC,60.89,427672,344480,0,1
KEBBI,4392097,3290,1470648,1.2,NW,21,567883,100972,8148,677003,46,APC,67.76,473022,269783,0,1
JIGAWA,5756959,2988,1831276,1,NW,27,885988,142904,8672,1037564,57,APC,70.78,601718,525639,0,1
ENUGU,4346223,4396,1429221,1.5,SE,17,14157,553003,6013,573173,40,PDP,92.96,140120,137424,0,0
EDO,4222129,11888,1779738,4.2,SE,18,208469,286869,5113,500451,28,PDP,14.64,293943,250562,0,0
IMO,5305745,14212,1803030,5,SE,27,133253,559185,10526,702964,39,PDP,59.09,118710,117304,0,0
ABIA,3712367,8687,1396162,3,SE,17,13394,368303,9348,391045,28,PDP,88.37,180758,140242,0,0
ANAMBRA,5464599,6764,1963173,2.4,SE,21,18,660762,9896,670676,34,PDP,97.04,78591,78969,0,0
CROSS RIVER,3812669,9292,1175623,3.2,SS,18,28368,414863,7283,450514,38,PDP,84.17,147798,136270,1,0
RIVERS,7148754,21073,2537590,7.4,SS,23,69238,1487075,9148,1565461,62,PDP,89.99,180694,131125,1,0
DELTA,5569073,16749,2275264,5.9,SS,25,48910,1211405,7458,1267773,56,PDP,91.11,305199,263574,1,0
AKWA IBOM,5344249,11179,1680759,3.9,SS,31,58411,953304,5349,1017064,61,PDP,87.46,292013,230903,1,0
BAYELSA,2252005,4337,610673,1.5,SS,8,5194,361209,662,367065,60,PDP,96.81,98922,87188,1,0
EBONYI,2852236,2732,1074273,1,SS,13,19518,323653,20717,363888,34,PDP,77.89,156007,203521,1,0
EKITI,3219640,2848,732021,1,SW,16,120331,176466,3894,300691,41,PDP,17.37,151657,174213,0,0
OGUN,5116930,10470,1829534,3.7,SW,20,308290,207950,16932,533172,29,APC,15.64,286355,251833,0,0
OYO,7637453,16121,2415566,5.6,SW,33,528620,303376,49356,881352,36,APC,19.96,497687,434636,0,0
Lagos       ,12361694,33679,5822207,11.8,SW,20,792460,632327,18899,1443686,25,APC,9.78,845547,542942,0,0
ONDO,4606773,8414,1524655,2.9,SW,18,299889,251368,9799,561056,37,APC,6.9,291330,277635,0,0
OSUN,4623487,7280,1407107,2.5,SW,30,383603,249929,9083,642615,46,APC,19.39,317659,338610,0,0
